dataset,subject,train_mode,test_mode,label,accuracy,kappa,erd_group,erd_value
PhysioNetMI,1,raw,no_adapt,No-adapt (baseline),0.8,0.5986124876114964,ERS,-6.892582987952149
PhysioNetMI,1,raw,tent,TENT,0.8222222222222222,0.6435643564356435,ERS,-6.892582987952149
PhysioNetMI,1,raw,erd_align,ERD-Align (raw train),0.8,0.5986124876114964,ERS,-6.892582987952149
PhysioNetMI,1,ea,no_adapt,EA-train + No-adapt,0.8222222222222222,0.6442687747035574,ERS,-6.892582987952149
PhysioNetMI,1,ea,std_ea,EA-train + Std-EA,0.9111111111111111,0.8221343873517787,ERS,-6.892582987952149
PhysioNetMI,1,ea,erd_align,EA-train + ERD-Align ★,0.8222222222222222,0.6442687747035574,ERS,-6.892582987952149
PhysioNetMI,1,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.8444444444444444,0.6878097125867195,ERS,-6.892582987952149
PhysioNetMI,1,ea,tent,EA-train + TENT,0.8444444444444444,0.6878097125867195,ERS,-6.892582987952149
PhysioNetMI,2,raw,no_adapt,No-adapt (baseline),0.8444444444444444,0.6878097125867195,ERS,-1.7104383442024758
PhysioNetMI,2,raw,tent,TENT,0.8444444444444444,0.6878097125867195,ERS,-1.7104383442024758
PhysioNetMI,2,raw,erd_align,ERD-Align (raw train),0.8444444444444444,0.6878097125867195,ERS,-1.7104383442024758
PhysioNetMI,2,ea,no_adapt,EA-train + No-adapt,0.7777777777777778,0.5526838966202783,ERS,-1.7104383442024758
PhysioNetMI,2,ea,std_ea,EA-train + Std-EA,0.7555555555555555,0.5084409136047666,ERS,-1.7104383442024758
PhysioNetMI,2,ea,erd_align,EA-train + ERD-Align ★,0.7777777777777778,0.5526838966202783,ERS,-1.7104383442024758
PhysioNetMI,2,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.7777777777777778,0.5526838966202783,ERS,-1.7104383442024758
PhysioNetMI,2,ea,tent,EA-train + TENT,0.7777777777777778,0.5526838966202783,ERS,-1.7104383442024758
PhysioNetMI,3,raw,no_adapt,No-adapt (baseline),0.9111111111111111,0.8224852071005917,ERS,9.714698039843867
PhysioNetMI,3,raw,tent,TENT,0.9555555555555556,0.9110671936758893,ERS,9.714698039843867
PhysioNetMI,3,raw,erd_align,ERD-Align (raw train),0.9111111111111111,0.8224852071005917,ERS,9.714698039843867
PhysioNetMI,3,ea,no_adapt,EA-train + No-adapt,0.6666666666666666,0.33234421364985156,ERS,9.714698039843867
PhysioNetMI,3,ea,std_ea,EA-train + Std-EA,0.9111111111111111,0.8217821782178217,ERS,9.714698039843867
PhysioNetMI,3,ea,erd_align,EA-train + ERD-Align ★,0.6666666666666666,0.33234421364985156,ERS,9.714698039843867
PhysioNetMI,3,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.8444444444444444,0.6902654867256637,ERS,9.714698039843867
PhysioNetMI,3,ea,tent,EA-train + TENT,0.8444444444444444,0.6902654867256637,ERS,9.714698039843867
PhysioNetMI,4,raw,no_adapt,No-adapt (baseline),0.6222222222222222,0.23728813559322026,ERS,3.706090466388989
PhysioNetMI,4,raw,tent,TENT,0.8,0.599406528189911,ERS,3.706090466388989
PhysioNetMI,4,raw,erd_align,ERD-Align (raw train),0.6222222222222222,0.23728813559322026,ERS,3.706090466388989
PhysioNetMI,4,ea,no_adapt,EA-train + No-adapt,0.6666666666666666,0.32835820895522383,ERS,3.706090466388989
PhysioNetMI,4,ea,std_ea,EA-train + Std-EA,0.9555555555555556,0.9110671936758893,ERS,3.706090466388989
PhysioNetMI,4,ea,erd_align,EA-train + ERD-Align ★,0.6666666666666666,0.32835820895522383,ERS,3.706090466388989
PhysioNetMI,4,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.7777777777777778,0.5535714285714286,ERS,3.706090466388989
PhysioNetMI,4,ea,tent,EA-train + TENT,0.7777777777777778,0.5535714285714286,ERS,3.706090466388989
PhysioNetMI,5,raw,no_adapt,No-adapt (baseline),0.5555555555555556,0.12790697674418605,ERS,23.337952431320222
PhysioNetMI,5,raw,tent,TENT,0.5555555555555556,0.12790697674418605,ERS,23.337952431320222
PhysioNetMI,5,raw,erd_align,ERD-Align (raw train),0.5555555555555556,0.12790697674418605,ERS,23.337952431320222
PhysioNetMI,5,ea,no_adapt,EA-train + No-adapt,0.6,0.2151162790697675,ERS,23.337952431320222
PhysioNetMI,5,ea,std_ea,EA-train + Std-EA,0.6888888888888889,0.3823529411764707,ERS,23.337952431320222
PhysioNetMI,5,ea,erd_align,EA-train + ERD-Align ★,0.6,0.2151162790697675,ERS,23.337952431320222
PhysioNetMI,5,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.6,0.21052631578947367,ERS,23.337952431320222
PhysioNetMI,5,ea,tent,EA-train + TENT,0.6,0.21052631578947367,ERS,23.337952431320222
PhysioNetMI,6,raw,no_adapt,No-adapt (baseline),0.8222222222222222,0.6491228070175439,ERS,10.995765876875197
